Time(s),Frequency(Hz),RPM
115.90,50.00,1176.52
116.00,50.00,1177.28
116.10,50.00,1178.35
116.20,50.00,1178.44
116.30,50.00,1178.71
116.40,50.00,1178.54
116.50,50.00,1178.50
116.60,50.00,1178.69
116.70,50.00,1178.11
116.80,50.00,1178.11
116.90,50.00,1178.38
117.00,50.00,1177.64
117.10,50.00,1178.67
117.20,50.00,1177.98
117.30,50.00,1178.63
117.40,50.00,1178.89
117.50,50.00,1179.94
117.60,50.00,1180.29
117.70,50.00,1179.96
117.80,50.00,1180.87
117.90,50.00,1179.84
118.00,50.00,1179.64
118.10,50.00,1179.03
118.20,50.00,1179.66
118.30,50.00,1179.58
118.40,50.00,1178.46
118.50,50.00,1177.94
118.60,50.00,1177.02
118.70,50.00,1176.98
118.80,50.00,1178.07
118.90,50.00,1178.80
119.00,50.00,1178.77
119.10,50.00,1179.84
119.20,50.00,1180.76
119.30,50.00,1182.04
119.40,50.00,1181.43
119.50,50.00,1180.27
